id,qid1,qid2,question1,question2,is_duplicate
37,37,37,"When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?",My girlfriend said that we should end this because she is confused about her feelings for me. I wished her well and disconnected. Should I call her and ask her if she wants to get back together?,0
38,38,38,How do we prepare for UPSC?,How do I prepare for civil service?,1
40,40,40,Why do Slavs squat?,Will squats make my legs thicker?,0
41,41,41,When can I expect my Cognizant confirmation mail?,When can I expect Cognizant confirmation mail?,0
43,43,43,Is being a good kid and not being a rebel worth it in the long run?,Is being bored good for a kid?,0
44,44,44,What universities does Rexnord recruit new grads from? What majors are they looking for?,What universities does B&G Foods recruit new grads from? What majors are they looking for?,0
45,45,45,What is the quickest way to increase Instagram followers?,How can we increase our number of Instagram followers?,0
46,46,46,How did Darth Vader fought Darth Maul in Star Wars Legends?,Does Quora have a character limit for profile descriptions?,0
48,48,48,What are some examples of products that can be make from crude oil?,What are some of the products made from crude oil?,1
49,49,49,How do I make friends.,How to make friends ?,1
50,50,50,Is Career Launcher good for RBI Grade B preparation?,How is career launcher online program for RBI Grade B?,1
52,52,52,Nd she is always sad?,Aerodynamically what happens when propellor rotates?,0
53,53,53,What is the best/most memorable thing you've ever eaten and why?,What is the most delicious dish you've ever eaten and why?,1
54,54,54,How GST affects the CAs and tax officers?,Why can't I do my homework?,0
55,55,55,How difficult is it get into RSI?,Do you apply for programs like RSI when you're a rising senior?,0
56,56,56,Who is israil friend?,Is my boyfriend lying about his true feelings for his friend and is he secretly attracted to her?,0
57,57,57,What are some good rap songs to dance to?,What are some of the best rap songs?,0
58,58,58,I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?,I can't remember my Gmail password or my recovery email. How can I recover my e-mail?,1
59,59,59,What are the best ways to learn French?,How do I learn french genders?,0
60,60,60,How do I download content from a kickass torrent without registration?,Is Kickass Torrents trustworthy?,0
61,61,61,Is it normal to have a dark ring around the iris of my eye?,What causes a dark ring around the iris? How should it be treated?,0
62,62,62,How is the new Harry Potter book 'Harry Potter and the Cursed Child'?,How bad is the new book by J.K Rowling?,1
63,63,63,Why do I always get depressed?,Why do I always get depressed in the evening?,0
64,64,64,Where can I find a European family office database?,Where do I find a U.S. family office database?,0
65,65,65,What is Java programming? How To Learn Java Programming Language ?,How do I learn a computer language like java?,1
66,66,66,What is the best book ever made?,What is the most important book you have ever read?,1
67,67,67,Can we ever store energy produced in lightning?,Is it possible to store the energy of lightning?,1
68,68,68,What is your review of Performance Testing?,What is performance testing?,0
69,69,69,At what cost does so much privacy as in Germany come? What else is lost to gain so much privacy?,Are there any people who genuinely enjoy salad with no dressing?,0
70,70,70,What are the types of immunity?,What are the different types of immunity in our body?,0
71,71,71,What is a narcissistic personality disorder?,What is narcissistic personality disorder?,1
72,72,72,How I can speak English fluently?,How can I learn to speak English fluently?,1
73,73,73,How helpful is QuickBooks' auto data recovery support phone number to recover your corrupted data files?,What is the quickbooks customer support phone number USA?,1
74,74,74,Who is the richest gambler of all time and how can I reach his level?,Who is the richest gambler of all time and how can I reach his level as a gambler?,1
76,76,76,How do I prevent breast cancer?,Is breast cancer preventable?,0
77,77,77,How do I log out of my Gmail account on my friend's phone?,How can I know who logged in to my Gmail account? (by telling his IP address or device name)?,0
79,79,79,What is purpose of life?,What's the purpose of life? What is life actually about?,1
80,80,80,When will the BJP government strip all the Muslims and the Christians of the Indian citizenship and put them on boats like the Rohingya's of Burma?,"Why India does not apply the ""Burma-Rohingya model"" to deport illegal Bangladeshis?",0
81,81,81,What is the right etiquette for wishing a Jehovah Witness happy birthday?,How important is it to be the first person to wish someone a happy birthday?,0
83,83,83,Why do Swiss despise Asians?,Why do technical employees despise sales people so much?,0
84,84,84,What are some of the high salary income jobs in the field of biotechnology?,What are some high paying jobs for a fresher with an M.Tech in biotechnology?,1
85,85,85,How can I increase my height after 21 also?,Can height increase after 25?,1
87,87,87,What is the difference between sincerity and fairness?,What's the difference between honest and sincere?,0
88,88,88,Which is the best gaming laptop under 60k INR?,Which is the best gaming laptop under Rs 60000?,1
89,89,89,What is your review of The Next Warrior: Proving Grounds - Part 9?,What is your review of The Next Warrior: Proving Grounds - Part 5?,0
92,92,92,What are some of the best romantic movies in English?,What is the best romantic movie you have ever seen?,1
93,93,93,What causes a nightmare?,What causes nightmares that seem real?,1
94,94,94,What is abstract expressionism in painting?,What are some of the major influences of abstract expressionism?,0
95,95,95,How does 3D printing work?,How do 3D printing work?,1
96,96,96,What was it like to attend Caltech with Jeremy Ehrhardt?,Who are some notable folks who attended Caltech?,0
97,97,97,Why did harry become a horcrux?,What is a Horcrux?,0
98,98,98,What are the best associate product manager (APM) programs that someone in their early 20s can join to learn product management and have a rewarding career in the company?,What are the general requirement to become a Product Manager or a Program Manager in a product based software company?,0
99,99,99,Why is the number for Skype at 1-855-425-3768 always busy?,How could I get Skype to work on an android 4.1.1 phone?,0
100,100,100,Will there really be any war between India and Pakistan over the Uri attack? What will be its effects?,Will there be a nuclear war between India and Pakistan?,1
101,101,101,Did Ronald Reagan have a mannerism in his speech?,How did Ronald Reagan react to 9/11?,0
102,102,102,What were the war strategies of the Union and the Confederates during the Civil War?,How could the Confederates have possibly defeated Union forces at Gettysburg during the American Civil War?,0
103,103,103,Which is the best fiction novel of 2016?,Which are some of the best fiction novels?,0
104,104,104,Can I recover my email if I forgot the password?,What should I do if I forgot my email password?,1
105,105,105,Will the recent demonetisation results in higher GDP? If so how much?,How demonetisation could affect the GDP of India in both short run and long run?,0
106,106,106,Have you ever heard of travel hacking?,Can WhatsApp be hacked?,0
107,107,107,What's the difference between love and pity?,What is the difference between love and pity?,1
108,108,108,How competitive is the hiring process at Republic Bank?,How competitive is the hiring process at S & T Bank?,0
110,110,110,Where can I watch gonulcelen with english subtitles?,Where can I watch sarrainodu with subtitles?,0
111,111,111,Is USA the most powerful country of the world?,Why is the USA the most powerful country of the world?,0
112,112,112,How do you obtain an instant ulcer pain relief?,What is better for a low back pain: heat or ice?,0
113,113,113,What do you think China food?,How do you think of Chinese food?,1
114,114,114,What does taking advantage of someone mean?,Is it worse to take advantage of someone or be materialistic?,0
115,115,115,Why do we cry when we are happy and when we are sad?,Why do we cry?,0
116,116,116,Why do some girls like to stick their their tongues out when taking pictures?,Why do teen girls (and women in general) allow their boyfriends to take naked pictures of them in this day and (digital) age?,0
117,117,117,"Did you find the ending of the novel ""1984"" depressing?","How do Winston and Julia differ in the novel ""1984""? How are they similar?",0
118,118,118,What are some mind-blowing computer tools that exist that most people don't know about?,What are some mind-blowing technologies that exist that most people don't know about?,0
119,119,119,Should the toothbrush be wet or dry before applying the toothpaste?,What is the cheapest toothpaste?,0
120,120,120,Why my question was marked as needing imrovement?,How can I ask a question without getting marked as ‘need to improve’?,1
122,122,122,What mineral holds the highest electrical charge?,What mineral can hold the greatest electrical charge?,1
123,123,123,What is the greatest mystery in the universe?,What is the greatest mystery of all time?,0
124,124,124,What is the alternative to machine learning?,How do I over-sample a multi-class imbalance data set?,0
126,126,126,What is the mean of future budget?,What is the meaning of the future?,0
127,127,127,Can excessive amounts of Vitamin C cause me to have a miscarriage?,How can Vitamin C cause a miscarriage?,1
128,128,128,What is it like to work in Asahi India Glass? What will be the pay scale after one or two years?,When will we get the Call Letter after we get the Letter of Intent in Asahi India Glass recruitment?,0
129,129,129,How do I access Torbox in India?,How do I access Google.com from India?,0
130,130,130,What are some yakshini mantras?,What is a Yantra & Mantra?,0
131,131,131,Was six party talks successful?,Which course is better in NICMAR?,0
132,132,132,How do I register my domain site email?,How do you register a .an domain?,0
133,133,133,Is it normal for older men to be attracted to young women?,Why am I attracted to older men?,0
134,134,134,What is the strongest structure or strongest shape under compression?,What is the strongest Kevlar cord?,0
135,135,135,Who are the Rohingya Muslims?,Who are the Rohingya people?,1
136,136,136,Does it matter whether humans are selfish or evil?,Does it matter whether humanity is evil or not?,1
137,137,137,Are exocytosis and endocytosis examples of active or passive transport?,What are examples of passive transport in cells?,0
139,139,139,What is the ideal life after retirement?,What's life after retirement?,0
140,140,140,What is our stance against Pakistan?,What is the stance of Pakistan in the possession of weapons of mass destruction by North korea? Does it support DPRK or is it against DPRK?,0
141,141,141,What are good websites for escorts?,How do I find a good escort?,0
142,142,142,Which one is better polo diesel or grand i10 petrol?,What is the best diet for a growing decathlete?,0
143,143,143,Does a black hole have mass?,Does a black hole have a finite mass?,1
145,145,145,Does Fab currently offer new employees stock options or RSUs?,Does Uber currently offer new employees stock options or RSUs?,0
146,146,146,How would you review the site Waveclues?,Is there a good pay for reviews site out there?,0
147,147,147,In how many ways can we distribute 10 identical looking pencils to 4 students so that each student gets at least one pencil?,In how many ways 12 apples can be distributed among 4 children such that every child gets at least 2 apples?,0
148,148,148,How much would it cost to hire Jerry Seinfeld for 1-2 hours?,How much on average would it cost to video tape a 2 hour presentation?,0
149,149,149,Is 7 days too late for rabies vaccine after a possible non-bite exposure?,Can I take rabies injection after 1 day of dog bite?,0
150,150,150,How many years Britain ruled India?,What is the standard amount of time off given for an international relocation?,0
151,151,151,How can I stop being afraid of working?,How do you stop being afraid of everything?,0
152,152,152,Why does Red keep the keys in OITNB?,Why does Red keep the keys in season 4 of Orange is the New Black?,1
154,154,154,How forgetful are you?,How can I forget my wife?,0
155,155,155,Could Snoke secretly be Darth Maul?,How could snoke be darth plagueis if he was killed by the emperor?,0
157,157,157,Would you switch from Canon 6D to Leica D-LUX 109?,What tripod should I get for my Canon 6D?,0
158,158,158,What does the Quora website look like to members of Quora moderation?,How does Quora look to a moderator?,1
159,159,159,Why nobody answer my questions in Quora?,Why is no one answering my questions in Quora?,1
160,160,160,What is the funniest joke you know?,What is the funniest joke of all time?,1
162,162,162,What are stereotypes about the United Kingdom?,What do Americans think about the United Kingdom?,0
163,163,163,How do I use Twitter as a business source?,How can I use Twitter for business?,1
164,164,164,How can I transfer money from Skrill to a PayPal account?,How can I send money from my PayPal account to my Skrill account to withdraw?,0
165,165,165,Which is the best earphone with deep bass under 1000?,Which is the Best earphones under Rs 1000?,1
166,166,166,Are government employees eligible to Sukanya Samrudi Yojana?,Can a Government employee apply IEC?,0
167,335,336,Which is correct - 'Looking forward to speak with you' or 'Look forward to speak with you'?,"Which is correct: ""speak with"" or ""speak to""?",0
168,337,338,Which are the best engineering fields?,What is the best field of engineering?,1
171,343,344,Which are the prospering towns in Kerala?,Why are there so many Christians in Kerala?,0
172,345,346,What is the best way to gain confidence?,How can I speak with more clarity and confidence?,0
174,349,350,How do I switch from Apple Music to Spotify?,Should I switch from Spotify to Apple Music?,0
